trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
33,Graph Attention Network,UnidirectionalVirtualClassNode(),1.6504912058956096,0.0278883247633173,0.0,0.0022629504599221,0.7532021766429469,0.8787700533866882,0.679324894514768,0.6530895829200745,0.6686031826218742,0.6060336296279664,,0.9610576629638672,0.6239782571792603,0.6663260880013904,0.4513663721304977
34,Graph Attention Network,VirtualClassNode(),2.2669228543472,0.1646272089283774,0.0,0.0017514138208087,0.9471745500209292,0.1471591591835022,0.4197071233556714,0.0485518798232078,0.4127304874968426,0.3639139666391713,,0.9851211309432985,0.646697998046875,0.4030326581559793,0.2730862606881433
35,Graph Attention Network,UnidirectionalVirtualClassNode(),0.641522875412929,0.0536570530460467,0.0,0.0027305069402981,0.8369192130598577,0.3979652225971222,0.6919831223628692,0.2344473153352737,0.6832533468047487,0.6254581581182537,,0.9616031646728516,0.5842820405960083,0.6814260720498854,0.4735656962957194
36,Graph Attention Network,VirtualClassNode(),0.681294791646351,0.0641563905421005,0.0,0.0041551307041145,0.9158643784010048,0.2533747851848602,0.5170017374038223,0.188093215227127,0.5106087395807022,0.4552138667192055,,0.982955515384674,0.6371495723724365,0.5058029472631493,0.3429717028856487
37,Graph Attention Network,UnidirectionalVirtualClassNode(),0.1744854926405281,0.0070332744794961,1e-05,0.0028697378878511,0.8874843030556718,0.2679544985294342,0.6803176966989327,0.110330119729042,0.6750442030815863,0.6168798259828612,,0.974869966506958,0.5551257133483887,0.6733914512310546,0.4745936004076806
38,Graph Attention Network,VirtualClassNode(),0.6572970399269646,0.0395886773058886,0.001,0.0019914927463526,0.8528254499790707,0.5231638550758362,0.533879374534624,0.3699359595775604,0.5251326092447588,0.4613309256916145,,0.9860334396362304,0.6914395689964294,0.5104612480298383,0.3261187215996597
39,Graph Attention Network,UnidirectionalVirtualClassNode(),1.4174664273372777,0.5490942034177023,0.0,0.0033986571792703,0.7647551276684805,0.4414813220500946,0.6865227103499628,0.2333513498306274,0.6751704976004042,0.6148669494298777,,0.965953767299652,0.6087490320205688,0.6732613388700998,0.4692919128019952
40,Graph Attention Network,VirtualClassNode(),1.608180467471282,0.0974416485950856,0.0,0.0052650884625829,0.6916701548765174,1.8889555931091309,0.5179945395879871,1.745386838912964,0.5035362465269008,0.4324843272879411,,0.921834111213684,0.6208494901657104,0.5062845496533682,0.2465401814099475
41,Graph Attention Network,UnidirectionalVirtualClassNode(),0.7477579781641736,0.4649412315953511,0.0,0.0027924353730896,0.6986186688991209,0.610974907875061,0.6569868453710598,0.437713623046875,0.6462490527911089,0.5795819348772676,,0.9747089743614196,0.6422749757766724,0.6428407655247423,0.4285446608645813
42,Graph Attention Network,UnidirectionalVirtualClassNode(),0.9220861399238516,0.2196702294816133,0.0,0.0036682369941557,0.7359564671410632,0.7444819211959839,0.6718788781335319,0.5093587636947632,0.662414751199798,0.5968929698050727,,0.9700062870979308,0.6240758895874023,0.6584741245018655,0.4366709229620495
43,Graph Attention Network,UnidirectionalVirtualClassNode(),1.3288440792966136,0.5271229692178458,0.0,0.002543309369881,0.7620761825031394,0.520380437374115,0.6810622983370563,0.2652941942214966,0.6706238949229604,0.6048996557284364,,0.971313178539276,0.6224702596664429,0.6674824561967231,0.4540075601316323
44,Graph Attention Network,UnidirectionalVirtualClassNode(),0.1837226177058817,0.2381252060220541,1e-06,0.001748191401136,0.7285893679363751,-0.2279586791992187,0.6758500868701911,-0.4530555605888366,0.6662035867643344,0.5999479735688329,,0.989105761051178,0.6563575267791748,0.6639264335830907,0.4376909253790613
45,Graph Attention Network,UnidirectionalVirtualClassNode(),3.70718313269292,0.9418999772968016,0.001,0.0031508084128474,0.7582251988279615,0.5330092310905457,0.6964507321916108,0.3374935090541839,0.6862844152563778,0.6214220800620035,,0.9518211483955384,0.6122099757194519,0.6821627152113634,0.4638220899035946
46,Graph Attention Network,UnidirectionalVirtualClassNode(),3.583940381502176,0.9420725131796416,0.001,0.0031956074165142,0.7357890330682294,0.6765550971031189,0.6882601141722512,0.4408368170261383,0.6768123263450366,0.6112318865503605,,0.9626319408416748,0.6256039142608643,0.6731637658790272,0.4665583388906851
47,Graph Attention Network,UnidirectionalVirtualClassNode(),4.186717863403555,0.2214721471482049,0.001,0.004145079226181,0.7395562997069903,0.8397182822227478,0.6899975179945396,0.622700035572052,0.6789593331649406,0.6169085852913853,,0.9543396830558776,0.6210431456565857,0.6769616282974357,0.4598926053200743
