trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
64,GraphSAGE,UnidirectionalVirtualClassNode(),,6.569987464,0.013821648,0.001,0.003628814,0.94491419,0.165788725,0.716554976,0.00332068,0.703207881,0.64417008,,0.863704145,0.483507812,0.700064019,0.487957317,TRUE
84,GraphSAGE,UnidirectionalVirtualClassNode(),,7.84044746,0.021910177,0.001,0.002776734,0.939472583,0.185296685,0.712087367,0.00405557,0.703207881,0.643585611,,0.868718505,0.491279185,0.700527057,0.493139832,TRUE
2,GraphSAGE,VirtualClassNode(),,6.68116566,0.058019412,1.00E-06,0.001734691,0.994139807,0.009015737,0.671382477,-0.006688283,0.663425107,0.606996238,,0.764221549,0.484988123,0.659216895,0.508190145,
3,GraphSAGE,VirtualClassNode(),,6.058253625,0.340557314,1.00E-05,0.002780884,0.991209711,-0.021982893,0.664184661,-0.046624091,0.65483708,0.596473861,,0.825722635,0.523051023,0.653479455,0.454100134,
4,GraphSAGE,VirtualClassNode(),,2.956950062,3.65E-05,1.00E-06,0.00656311,0.049476769,7.893187523,0.052866716,7.642127037,0.051780753,0.014051764,,0.002419109,0.00114513,0.027589547,0,
73,GraphSAGE,UnidirectionalVirtualClassNode(),,6.791155216,0.007410173,0.001,0.002403671,0.902051067,0.30333516,0.70910896,0.029355431,0.699924223,0.64316275,,0.83916223,0.489484578,0.697413762,0.508453674,TRUE
6,GraphSAGE,VirtualClassNode(),,4.093680403,0.019971327,0.0001,0.009940898,0.993386354,0.016211098,0.674609084,-0.002986324,0.664182874,0.609153641,,0.82361865,0.509174943,0.661532111,0.48420346,
7,GraphSAGE,VirtualClassNode(),,0.334829319,0.758029225,0.0001,0.002151759,0.88673085,-2.364643812,0.666170266,-2.668259859,0.655468553,0.588320562,,0.97586751,0.606875718,0.654349532,0.443843703,
8,GraphSAGE,VirtualClassNode(),,5.54092023,4.23E-05,1.00E-05,0.007597866,0.998409376,0.005875991,0.673864483,0.000127984,0.666708765,0.607660305,,0.777258992,0.472316474,0.664174302,0.47074401,
52,GraphSAGE,UnidirectionalVirtualClassNode(),,7.301587033,0.006750619,0.001,0.003359901,0.937881959,0.195049912,0.712583768,0.007955998,0.703207881,0.642776693,,0.825546384,0.472002178,0.699860579,0.494061308,TRUE
