trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
11,GIN,UnidirectionalVirtualClassNode(),,7.379309038,0.001902303,1e-05,0.001465675,0.593888656,1.586747408,0.586001489,1.476149321,0.578176307,0.491821305,,0.9949579238891602,0.2517169713973999,0.567269555,0.334037734,
10,GIN,UnidirectionalVirtualClassNode(),,7.121358061,0.001251096,1e-05,0.001368728,0.606613646,1.553281546,0.586746091,1.464369178,0.579439252,0.491438677,,0.9951918721199036,0.2295459508895874,0.56933101,0.318167394,
47,GIN,UnidirectionalVirtualClassNode(),,5.572866353,0.00073958,1e-05,0.000906583,0.592632901,1.629491448,0.592702904,1.579109907,0.576787067,0.48598866,,0.9944994449615479,0.23632454872131348,0.563846405,0.296648954,
12,GIN,UnidirectionalVirtualClassNode(),,6.584602933,0.006779183,1e-05,0.001206781,0.495604856,2.11030221,0.41796972,7.876586437,0.415130083,0.332086398,,0.9948258996009827,0.2412922978401184,0.408415225,0.10696414,
7,GIN,UnidirectionalVirtualClassNode(),,8.108919215,0.0013167,1e-06,0.002108856,0.497530347,2.226301193,0.425167535,15.78566837,0.413235666,0.311479371,,0.99065101146698,0.3072780966758728,0.39137273,0.147328655,
69,GIN,UnidirectionalVirtualClassNode(),,5.73773338,7.84e-05,0.001,0.000613605,0.855504395,0.572555661,0.298833457,225.242218,0.298181359,0.303605498,,0.9951621890068054,0.22798937559127808,0.329472331,0.198302373,
26,GIN,UnidirectionalVirtualClassNode(),,6.153559294,0.000364123,0.0001,0.000795908,0.670238594,3.639698982,0.330851328,54.8213501,0.328744632,0.295689201,,0.9948607087135315,0.2450597882270813,0.336096943,0.214800633,
27,GIN,UnidirectionalVirtualClassNode(),,3.520558557,2.2e-05,0.0001,0.001072733,0.650062788,1.87145257,0.324894515,18.89003754,0.320914372,0.295552113,,0.9888819456100464,0.32368290424346924,0.340784703,0.156936818,
58,GIN,UnidirectionalVirtualClassNode(),,5.440622018,3.1e-05,0.0001,0.000626267,0.73729594,1.008302212,0.353933979,13.68547058,0.353498358,0.286200519,,0.9950426816940308,0.24805843830108643,0.346731338,0.199105832,
90,GIN,VirtualClassNode(),,4.291215836,1.5e-05,0.001,0.00050726,0.966513185,0.400246352,0.023082651,16.57168198,0.021848952,0.014072867,,0.9762722253799438,0.2555198073387146,0.007883312,0.029867451,
85,GIN,UnidirectionalVirtualClassNode(),,5.540046275,1.69e-05,0.001,0.000584741,0.618668899,1.428259969,0.357408786,18.67409325,0.357034605,0.275233123,,0.9948209524154663,0.2459048628807068,0.350278218,0.131026334,
49,GIN,UnidirectionalVirtualClassNode(),,6.479817901,0.004149956,1e-05,0.000797975,0.486479699,2.192685604,0.387689253,8.327201843,0.387850467,0.273104249,,0.9951781034469604,0.25911271572113037,0.366510028,0.100822737,
9,GIN,UnidirectionalVirtualClassNode(),,3.65113308,0.055701756,0.001,0.002850569,0.349351193,2.902996778,0.361628196,8.920408249,0.34655216,0.255996495,,0.9957737922668457,0.2276376485824585,0.335906509,0.153786223,
8,GIN,UnidirectionalVirtualClassNode(),,8.705005575,2.38e-05,0.001,0.002750538,0.343491,2.798075438,0.33655994,3.528271914,0.326092448,0.246215142,,0.9947688579559326,0.29319870471954346,0.322708905,0.126956171,
3,GIN,UnidirectionalVirtualClassNode(),,5.874969735,0.054285519,0.001,0.000836186,0.357220594,3.055037022,0.206254654,43.73287201,0.203334175,0.211392702,,0.9949464201927185,0.2614050507545471,0.250418966,0.152757674,
54,GIN,UnidirectionalVirtualClassNode(),,5.647115975,7.75e-05,1e-05,0.000907349,0.43557974,3.355090141,0.292132043,40.29494095,0.295276585,0.197686799,,0.994429349899292,0.24781250953674316,0.268189781,0.088633968,
61,GIN,UnidirectionalVirtualClassNode(),,4.613003479,5.91e-05,0.01,0.000716382,0.32373378,3.045559883,0.170265575,22.09740067,0.16797171,0.103275707,,0.9938474893569946,0.18046897649765015,0.17054732,0.02543834,
30,GIN,UnidirectionalVirtualClassNode(),,5.235458378,2.94e-05,0.01,0.000639248,0.299790707,3.231625557,0.133035493,29.6348362,0.132609245,0.090458784,,0.9945375919342041,0.19225728511810303,0.148209707,0.021164681,
18,GIN,UnidirectionalVirtualClassNode(),,4.631505888,6.63e-05,0.01,0.000711409,0.129845123,4.425617695,0.046661703,184.8084259,0.044455671,0.047293211,,0.996430516242981,0.1710016131401062,0.055034092,0.028115161,
